code,regions,period,grains_and_legumes,sugarbeet,sunflower,soybeans,rapeseed,potatoes,vegetables,fruits_and_berries
0000000000,Україна ,2022,45.8,541.2,21.6,22.6,28.7,173.5,200.3,116.1
0100000000,Автономна Республіка Крим,2022,,,,,,,,
0500000000,Вінницька,2022,44.4,487.4,22.9,19.2,33.7,165.4,213.4,106.1
0700000000,Волинська,2022,44.7,522.4,20.5,23.3,37.0,160.1,215.3,100.4
1200000000,Дніпропетро́вська,2022,32.1,,18.2,15.7,24.5,135.7,202.5,96.6
1400000000,Доне́цька,2022,29.6,288.4,20.9,,21.9,117.9,170.5,127.6
1800000000,Житомирська,2022,43.3,502.6,20.7,19.9,28.8,209.7,220.6,121.1
2100000000,Закарпатська,2022,38.6,,17.3,15.3,,170.0,218.7,84.3
2300000000,Запорізька,2022,26.9,,13.5,,19.0,120.0,191.3,66.7
2600000000,Івано-Франківська,2022,58.3,,27.8,27.3,37.7,173.0,180.8,76.1
3200000000,Київська,2022,48.7,358.1,22.3,18.6,30.2,190.4,196.0,99.6
3500000000,Кіровоградська,2022,45.2,560.7,21.7,17.1,26.5,126.4,152.3,71.0
4400000000,Луганська,2022,29.9,,16.8,,,194.4,270.5,145.0
4600000000,Львівська,2022,58.5,738.4,25.1,27.8,37.7,185.2,196.2,104.6
4800000000,Миколаївська,2022,30.3,,15.4,11.0,20.1,113.9,157.8,61.5
5100000000,Одеська,2022,26.0,,13.5,15.6,18.6,126.5,200.3,136.2
5300000000,Полтавська,2022,57.5,478.5,28.1,23.9,27.7,232.7,228.5,238.0
5600000000,Рівненська,2022,49.9,551.2,22.3,25.7,32.2,181.5,214.6,138.2
5900000000,Сумська,2022,64.4,,26.2,25.1,34.0,164.4,185.3,57.3
6100000000,Тернопільська,2022,59.7,595.7,32.0,27.5,39.6,177.3,242.9,169.3
6300000000,Харківська,2022,42.3,,22.9,18.1,,129.1,173.5,45.8
6500000000,Херсонська1,2022,31.9,,13.8,25.1,18.9,,,
6800000000,Хмельницька,2022,63.4,608.9,28.9,25.1,34.3,192.1,210.1,167.6
7100000000,Черкаська,2022,56.5,462.7,26.7,21.6,35.5,181.7,204.2,99.1
7300000000,Чернівецька,2022,54.0,,25.6,19.4,27.5,178.0,182.7,169.2
7400000000,Чернігівська,2022,62.8,595.7,23.2,21.8,32.8,166.0,176.3,66.8
8000000000,Київ,2022,,,,,,,,
8500000000,Севастополь,2022,,,,,,,,
